id;first_name;last_name;class_id
1;Mateusz;Dąbrowski;1
2;Tadeusz;Szymański;2
3;Dorota;Stępień;1
4;Wojciech;Zając;2
5;Bartosz;Wiśniewski;2
6;Tomasz;Adamczyk;3
7;Stanisław;Sikora;2
8;Beata;Krawczyk;1
9;Jan;Zając;1
10;Marta;Kozłowski;2
11;Filip;Lewandowski;3
12;Natalia;Pawlak;1
13;Stanisław;Jankowski;1
14;Filip;Woźniak;1
15;Krzysztof;Malinowski;2
16;Sebastian;Jabłoński;3
17;Emilia;Kaczmarek;2
18;Julia;Pawłowski;3
19;Kamil;Kowalczyk;1
20;Teresa;Wojciechowski;2
21;Barbara;Zieliński;3
22;Barbara;Kowalczyk;3
23;Kacper;Lewandowski;1
24;Krzysztof;Sikora;3
25;Marek;Krawczyk;2
26;Marta;Zieliński;1
27;Janina;Kwiatkowski;1
28;Tadeusz;Wieczorek;3
29;Irena;Stępień;1
30;Jadwiga;Adamczyk;3
