id;first_name;last_name;class_id
1;Halina;Nowakowski;1
2;Filip;Dudek;3
3;Dorota;Kamiński;3
4;Krzysztof;Jabłoński;2
5;Józef;Grabowski;3
6;Jan;Olszewski;3
7;Rafał;Stępień;1
8;Aleksandra;Mazur;1
9;Wiktoria;Kowalczyk;1
10;Tadeusz;Wojciechowski;3
11;Józef;Olszewski;2
12;Jolanta;Kozłowski;2
13;Tomasz;Kowalczyk;2
14;Maria;Krawczyk;3
15;Krzysztof;Olszewski;2
16;Elżbieta;Lewandowski;3
17;Laura;Wojciechowski;1
18;Łukasz;Wiśniewski;3
19;Anna;Adamczyk;2
20;Andrzej;Kamiński;2
21;Michał;Kowalski;3
22;Jadwiga;Dąbrowski;3
23;Robert;Piotrowski;2
24;Laura;Dudek;3
25;Jadwiga;Król;3
26;Beata;Wójcik;3
27;Julia;Wiśniewski;3
28;Elżbieta;Nowakowski;3
29;Piotr;Sikora;3
30;Jadwiga;Woźniak;3
