id;first_name;last_name;class_id
1;Natalia;Piotrowski;3
2;Jan;Zieliński;2
3;Kacper;Majewski;1
4;Marcin;Woźniak;1
5;Damian;Woźniak;2
6;Grzegorz;Dudek;3
7;Zofia;Dąbrowski;3
8;Magdalena;Wieczorek;2
9;Laura;Lewandowski;1
10;Monika;Szymański;2
11;Jerzy;Kwiatkowski;2
12;Andrzej;Pawłowski;2
13;Amelia;Walczak;3
14;Krzysztof;Krawczyk;1
15;Robert;Pawlak;2
16;Jadwiga;Szymański;2
17;Teresa;Walczak;1
18;Aleksandra;Zieliński;1
19;Marek;Dąbrowski;2
20;Łukasz;Szymański;3
21;Jadwiga;Jankowski;3
22;Oliwia;Wieczorek;2
23;Łukasz;Jabłoński;3
24;Michał;Pawłowski;3
25;Mikołaj;Lewandowski;2
26;Kacper;Sikora;3
27;Tomasz;Zając;3
28;Patrycja;Mazur;3
29;Józef;Dudek;3
30;Piotr;Szymański;2
