id;first_name;last_name;class_id
1;Ewa;Stępień;2
2;Zbigniew;Kowalski;2
3;Helena;Wójcik;2
4;Barbara;Nowak;3
5;Grzegorz;Olszewski;2
6;Beata;Nowak;1
7;Łukasz;Nowicki;2
8;Agnieszka;Wilk;2
9;Aleksandra;Szymański;1
10;Halina;Michalski;1
11;Jan;Kwiatkowski;1
12;Piotr;Zieliński;1
13;Łukasz;Wójcik;3
14;Zbigniew;Szymański;3
15;Emilia;Wieczorek;3
16;Mikołaj;Wróbel;1
17;Teresa;Pawłowski;1
18;Damian;Kozłowski;1
19;Józef;Pawłowski;3
20;Kamil;Jaworski;1
21;Marcin;Jankowski;1
22;Anna;Nowak;2
23;Michał;Majewski;2
24;Zbigniew;Wróbel;3
25;Małgorzata;Nowak;3
26;Julia;Nowak;2
27;Beata;Lewandowski;1
28;Irena;Kozłowski;2
29;Teresa;Wróbel;3
30;Zbigniew;Kowalski;2
