id;first_name;last_name;class_id
1;Aleksandra;Zając;1
2;Laura;Jankowski;2
3;Tomasz;Wiśniewski;3
4;Julia;Nowak;2
5;Anna;Majewski;1
6;Rafał;Król;2
7;Mateusz;Wieczorek;3
8;Natalia;Wieczorek;2
9;Szymon;Lewandowski;2
10;Szymon;Grabowski;2
11;Wojciech;Krawczyk;2
12;Janina;Grabowski;3
13;Laura;Wróbel;3
14;Ewa;Nowakowski;2
15;Maja;Dudek;1
16;Patrycja;Kowalski;1
17;Kamil;Malinowski;3
18;Wiktoria;Malinowski;3
19;Aleksandra;Piotrowski;3
20;Amelia;Pawlak;1
21;Irena;Zieliński;3
22;Marcin;Wiśniewski;3
23;Rafał;Sikora;2
24;Zuzanna;Król;1
25;Helena;Zieliński;2
26;Filip;Wiśniewski;2
27;Krzysztof;Sikora;1
28;Marcin;Nowak;2
29;Dorota;Wilk;2
30;Zofia;Woźniak;3
