id;first_name;last_name;class_id
1;Maria;Stępień;2
2;Natalia;Szymański;2
3;Monika;Walczak;1
4;Tadeusz;Kwiatkowski;2
5;Jerzy;Zieliński;3
6;Irena;Mazur;2
7;Marek;Nowakowski;2
8;Joanna;Kaczmarek;3
9;Andrzej;Kowalski;2
10;Jerzy;Nowakowski;3
11;Damian;Wilk;2
12;Zbigniew;Wróbel;2
13;Emilia;Jankowski;1
14;Zuzanna;Jaworski;2
15;Paweł;Kaczmarek;3
16;Helena;Nowicki;1
17;Kacper;Walczak;2
18;Jerzy;Pawlak;2
19;Andrzej;Zając;2
20;Rafał;Nowak;1
21;Jadwiga;Wróbel;1
22;Halina;Lewandowski;2
23;Andrzej;Piotrowski;1
24;Jadwiga;Pawlak;2
25;Magdalena;Pawlak;2
26;Marta;Krawczyk;1
27;Janina;Dąbrowski;3
28;Amelia;Mazur;2
29;Dariusz;Wiśniewski;3
30;Emilia;Kowalczyk;1
