id;first_name;last_name;class_id
1;Natalia;Pawlak;2
2;Julia;Adamczyk;2
3;Zofia;Kozłowski;2
4;Jan;Kozłowski;3
5;Piotr;Kwiatkowski;2
6;Halina;Piotrowski;2
7;Patrycja;Kowalczyk;2
8;Zofia;Kowalski;2
9;Mariusz;Wójcik;2
10;Beata;Wróbel;2
11;Halina;Szymański;3
12;Paweł;Olszewski;3
13;Dorota;Majewski;2
14;Jadwiga;Nowicki;3
15;Wojciech;Pawłowski;3
16;Elżbieta;Jankowski;3
17;Mateusz;Szymański;2
18;Wojciech;Kwiatkowski;3
19;Wiktoria;Olszewski;2
20;Mateusz;Kowalski;2
21;Marcin;Wilk;3
22;Szymon;Kozłowski;1
23;Stanisław;Krawczyk;3
24;Jerzy;Dąbrowski;3
25;Jacek;Sikora;2
26;Jacek;Kowalski;1
27;Marcin;Mazur;3
28;Michał;Pawlak;2
29;Michał;Woźniak;3
30;Bartosz;Zając;1
