id;first_name;last_name;class_id
1;Irena;Grabowski;1
2;Mateusz;Kowalczyk;2
3;Maja;Nowakowski;3
4;Kacper;Wójcik;2
5;Józef;Dudek;3
6;Damian;Woźniak;2
7;Dariusz;Zając;2
8;Laura;Jaworski;2
9;Łukasz;Król;1
10;Sebastian;Kozłowski;3
11;Paweł;Piotrowski;2
12;Katarzyna;Wojciechowski;3
13;Mikołaj;Sikora;2
14;Tadeusz;Kamiński;2
15;Jolanta;Jaworski;1
16;Julia;Olszewski;3
17;Michał;Pawłowski;2
18;Natalia;Dudek;3
19;Emilia;Piotrowski;2
20;Marek;Dąbrowski;2
21;Jan;Zając;3
22;Marta;Jaworski;2
23;Wojciech;Kozłowski;3
24;Damian;Wieczorek;3
25;Marcin;Kamiński;1
26;Józef;Kaczmarek;3
27;Zofia;Szymański;2
28;Krzysztof;Król;3
29;Jolanta;Wójcik;1
30;Halina;Szymański;3
