id;first_name;last_name;class_id
1;Joanna;Lewandowski;1
2;Józef;Adamczyk;1
3;Paweł;Kozłowski;2
4;Krzysztof;Jaworski;2
5;Patryk;Wróbel;1
6;Anna;Wieczorek;3
7;Kacper;Szymański;2
8;Anna;Kaczmarek;2
9;Maja;Kamiński;2
10;Grzegorz;Kamiński;2
11;Zbigniew;Wieczorek;1
12;Maja;Jabłoński;3
13;Magdalena;Malinowski;1
14;Zbigniew;Kowalczyk;3
15;Mariusz;Michalski;3
16;Damian;Kaczmarek;3
17;Tomasz;Kowalski;3
18;Marek;Krawczyk;3
19;Mateusz;Walczak;2
20;Agnieszka;Malinowski;3
21;Halina;Pawłowski;1
22;Robert;Nowakowski;1
23;Elżbieta;Nowicki;1
24;Irena;Jabłoński;1
25;Piotr;Nowicki;2
26;Paweł;Nowakowski;1
27;Mateusz;Zieliński;2
28;Kamil;Kowalski;1
29;Mateusz;Kozłowski;3
30;Małgorzata;Adamczyk;2
