id;first_name;last_name;class_id
1;Filip;Król;3
2;Katarzyna;Lewandowski;1
3;Beata;Krawczyk;1
4;Paweł;Olszewski;2
5;Marcin;Zając;2
6;Andrzej;Nowakowski;2
7;Wojciech;Wiśniewski;2
8;Zuzanna;Walczak;1
9;Mateusz;Jabłoński;1
10;Agnieszka;Wojciechowski;2
11;Monika;Lewandowski;2
12;Dorota;Dąbrowski;2
13;Julia;Majewski;1
14;Anna;Wróbel;3
15;Marcin;Sikora;1
16;Oliwia;Woźniak;2
17;Halina;Jabłoński;2
18;Dorota;Mazur;2
19;Robert;Walczak;2
20;Rafał;Wójcik;2
21;Patryk;Malinowski;2
22;Laura;Walczak;3
23;Janina;Wieczorek;1
24;Jan;Kaczmarek;2
25;Tomasz;Kowalczyk;1
26;Kamil;Mazur;2
27;Kacper;Kaczmarek;2
28;Mariusz;Woźniak;1
29;Anna;Olszewski;3
30;Paweł;Grabowski;3
