id;first_name;last_name;class_id
1;Tomasz;Zając;1
2;Jolanta;Adamczyk;2
3;Jerzy;Dudek;3
4;Monika;Szymański;3
5;Kamil;Dudek;3
6;Mikołaj;Malinowski;3
7;Monika;Malinowski;3
8;Zuzanna;Pawłowski;1
9;Rafał;Olszewski;1
10;Robert;Kwiatkowski;3
11;Helena;Dąbrowski;3
12;Piotr;Mazur;2
13;Marek;Nowak;2
14;Bartosz;Dąbrowski;1
15;Józef;Krawczyk;1
16;Magdalena;Zieliński;2
17;Zbigniew;Jankowski;2
18;Marcin;Mazur;2
19;Stanisław;Wilk;2
20;Amelia;Wróbel;2
21;Marcin;Mazur;1
22;Aleksandra;Król;2
23;Wiktoria;Malinowski;1
24;Mikołaj;Grabowski;1
25;Rafał;Nowicki;2
26;Mariusz;Sikora;2
27;Elżbieta;Nowakowski;1
28;Tomasz;Jaworski;2
29;Halina;Nowicki;1
30;Jan;Nowak;1
