id;first_name;last_name;class_id
1;Marcin;Piotrowski;2
2;Marta;Woźniak;2
3;Jadwiga;Kwiatkowski;1
4;Mariusz;Adamczyk;2
5;Małgorzata;Nowicki;2
6;Wiktoria;Majewski;1
7;Aleksandra;Adamczyk;1
8;Barbara;Wilk;1
9;Dorota;Wiśniewski;1
10;Wojciech;Król;3
11;Filip;Wiśniewski;1
12;Piotr;Stępień;2
13;Szymon;Jankowski;1
14;Maja;Krawczyk;3
15;Natalia;Jaworski;3
16;Grzegorz;Jaworski;2
17;Zofia;Sikora;1
18;Patrycja;Woźniak;2
19;Halina;Pawłowski;1
20;Michał;Pawlak;2
21;Teresa;Pawłowski;3
22;Szymon;Stępień;3
23;Krzysztof;Nowak;1
24;Jolanta;Zieliński;1
25;Bartosz;Pawłowski;2
26;Marek;Wójcik;1
27;Józef;Jankowski;1
28;Marta;Jaworski;3
29;Małgorzata;Wieczorek;3
30;Tomasz;Malinowski;2
