id;first_name;last_name;class_id
1;Sebastian;Jankowski;2
2;Oliwia;Kowalczyk;3
3;Marek;Jabłoński;1
4;Józef;Grabowski;2
5;Paweł;Zieliński;2
6;Anna;Szymański;3
7;Wiktoria;Mazur;1
8;Katarzyna;Lewandowski;2
9;Paweł;Dąbrowski;1
10;Mikołaj;Wojciechowski;2
11;Zbigniew;Pawłowski;2
12;Jacek;Kamiński;3
13;Kamil;Kowalski;1
14;Maria;Stępień;2
15;Natalia;Zając;2
16;Oliwia;Sikora;3
17;Elżbieta;Wróbel;2
18;Agnieszka;Nowicki;1
19;Magdalena;Zając;1
20;Julia;Jabłoński;3
21;Agnieszka;Wojciechowski;2
22;Mateusz;Zając;2
23;Józef;Zieliński;1
24;Katarzyna;Stępień;1
25;Tadeusz;Michalski;1
26;Irena;Pawlak;3
27;Jacek;Nowicki;2
28;Damian;Piotrowski;2
29;Kacper;Wójcik;3
30;Sebastian;Pawlak;1
