id;first_name;last_name;class_id
1;Wojciech;Kowalczyk;1
2;Zuzanna;Kowalski;1
3;Barbara;Zieliński;3
4;Joanna;Szymański;3
5;Marta;Kaczmarek;3
6;Mateusz;Michalski;2
7;Jan;Nowicki;1
8;Wiktoria;Kamiński;2
9;Emilia;Walczak;3
10;Marta;Pawłowski;2
11;Zofia;Kowalski;3
12;Laura;Kwiatkowski;3
13;Monika;Adamczyk;2
14;Marek;Kaczmarek;1
15;Kacper;Michalski;2
16;Katarzyna;Nowakowski;3
17;Paweł;Nowak;1
18;Michał;Kowalczyk;1
19;Adam;Nowicki;1
20;Agnieszka;Kowalski;3
21;Łukasz;Woźniak;2
22;Jacek;Król;1
23;Zofia;Krawczyk;2
24;Maria;Szymański;2
25;Robert;Dudek;3
26;Dorota;Woźniak;3
27;Halina;Jabłoński;2
28;Michał;Kowalczyk;3
29;Halina;Kowalczyk;2
30;Kamil;Stępień;3
