id;first_name;last_name;class_id
1;Oliwia;Sikora;1
2;Katarzyna;Zieliński;3
3;Laura;Wilk;3
4;Mateusz;Wojciechowski;2
5;Rafał;Kozłowski;1
6;Krzysztof;Mazur;3
7;Ewa;Kamiński;1
8;Marcin;Jabłoński;1
9;Paweł;Zając;2
10;Zbigniew;Jaworski;3
11;Joanna;Piotrowski;2
12;Grzegorz;Olszewski;2
13;Anna;Wilk;1
14;Agnieszka;Kowalczyk;2
15;Dariusz;Malinowski;2
16;Mariusz;Nowicki;3
17;Jacek;Zając;1
18;Kamil;Dąbrowski;3
19;Bartosz;Zieliński;2
20;Jerzy;Majewski;1
21;Patrycja;Kaczmarek;3
22;Julia;Kozłowski;1
23;Filip;Mazur;2
24;Maja;Kamiński;1
25;Emilia;Stępień;2
26;Monika;Wróbel;2
27;Elżbieta;Wojciechowski;3
28;Patryk;Król;3
29;Julia;Majewski;2
30;Zbigniew;Nowakowski;1
