id;first_name;last_name;class_id
1;Tadeusz;Nowakowski;1
2;Wojciech;Wójcik;1
3;Ewa;Pawlak;2
4;Michał;Nowak;3
5;Dariusz;Jankowski;2
6;Rafał;Nowak;1
7;Józef;Wójcik;2
8;Stanisław;Malinowski;3
9;Paweł;Mazur;2
10;Zbigniew;Mazur;3
11;Paweł;Kowalski;2
12;Joanna;Krawczyk;1
13;Agnieszka;Olszewski;1
14;Dorota;Wilk;3
15;Oliwia;Wróbel;1
16;Szymon;Zając;2
17;Joanna;Michalski;2
18;Janina;Kamiński;2
19;Robert;Kowalski;3
20;Anna;Kowalczyk;3
21;Dariusz;Zając;2
22;Emilia;Sikora;1
23;Zofia;Pawłowski;3
24;Michał;Wojciechowski;2
25;Emilia;Olszewski;3
26;Paweł;Lewandowski;1
27;Elżbieta;Wiśniewski;2
28;Marta;Kowalczyk;2
29;Helena;Jabłoński;2
30;Oliwia;Woźniak;1
