id;first_name;last_name;class_id
1;Tadeusz;Dudek;2
2;Marcin;Kaczmarek;3
3;Agnieszka;Malinowski;2
4;Kacper;Krawczyk;3
5;Grzegorz;Nowakowski;2
6;Amelia;Stępień;1
7;Sebastian;Kozłowski;3
8;Jolanta;Dudek;2
9;Oliwia;Dąbrowski;2
10;Elżbieta;Król;3
11;Mikołaj;Kozłowski;1
12;Adam;Kamiński;3
13;Agnieszka;Kozłowski;2
14;Natalia;Kowalski;2
15;Kacper;Wilk;2
16;Irena;Kowalski;3
17;Adam;Kowalczyk;3
18;Tadeusz;Wiśniewski;1
19;Joanna;Wiśniewski;2
20;Kacper;Wilk;3
21;Jan;Wieczorek;1
22;Tomasz;Piotrowski;3
23;Emilia;Zając;2
24;Amelia;Dudek;3
25;Mateusz;Kowalczyk;3
26;Zuzanna;Dudek;2
27;Adam;Lewandowski;3
28;Andrzej;Michalski;1
29;Amelia;Mazur;3
30;Patryk;Pawłowski;3
