id;first_name;last_name;class_id
1;Szymon;Wójcik;2
2;Adam;Adamczyk;2
3;Małgorzata;Kowalski;3
4;Kacper;Zając;1
5;Magdalena;Jankowski;1
6;Agnieszka;Kowalczyk;3
7;Agnieszka;Nowak;3
8;Maria;Zając;3
9;Agnieszka;Sikora;1
10;Grzegorz;Zieliński;3
11;Natalia;Nowakowski;2
12;Łukasz;Wilk;3
13;Beata;Stępień;2
14;Monika;Kowalski;1
15;Teresa;Wilk;1
16;Emilia;Pawlak;3
17;Mariusz;Wróbel;2
18;Jadwiga;Majewski;2
19;Laura;Nowak;2
20;Zbigniew;Woźniak;1
21;Marta;Jankowski;3
22;Łukasz;Olszewski;1
23;Janina;Olszewski;2
24;Julia;Kowalski;1
25;Elżbieta;Sikora;1
26;Amelia;Dudek;1
27;Tomasz;Malinowski;2
28;Patrycja;Piotrowski;3
29;Łukasz;Pawlak;3
30;Robert;Wiśniewski;1
