id;first_name;last_name;class_id
1;Anna;Kowalski;1
2;Szymon;Wieczorek;1
3;Małgorzata;Kozłowski;3
4;Marcin;Grabowski;2
5;Małgorzata;Woźniak;3
6;Paweł;Wilk;2
7;Agnieszka;Wróbel;2
8;Irena;Malinowski;1
9;Tomasz;Nowak;1
10;Irena;Stępień;1
11;Maria;Malinowski;3
12;Filip;Jabłoński;1
13;Marta;Mazur;3
14;Ewa;Majewski;3
15;Andrzej;Mazur;1
16;Maria;Zając;2
17;Zuzanna;Sikora;2
18;Oliwia;Nowak;3
19;Robert;Pawłowski;3
20;Dariusz;Wilk;2
21;Piotr;Kowalski;3
22;Jolanta;Nowakowski;3
23;Zbigniew;Malinowski;3
24;Patryk;Sikora;3
25;Maria;Nowak;2
26;Beata;Lewandowski;2
27;Kacper;Mazur;2
28;Dorota;Jabłoński;1
29;Sebastian;Michalski;3
30;Natalia;Jabłoński;1
