id;first_name;last_name;class_id
1;Andrzej;Wójcik;1
2;Joanna;Pawlak;1
3;Jadwiga;Wojciechowski;1
4;Zuzanna;Zieliński;3
5;Sebastian;Jabłoński;2
6;Małgorzata;Pawłowski;1
7;Julia;Zieliński;3
8;Patryk;Nowakowski;3
9;Wiktoria;Wilk;3
10;Jolanta;Wiśniewski;2
11;Zbigniew;Jabłoński;3
12;Amelia;Kowalczyk;1
13;Magdalena;Dąbrowski;3
14;Rafał;Wieczorek;3
15;Tomasz;Pawłowski;2
16;Wojciech;Kaczmarek;1
17;Bartosz;Kaczmarek;2
18;Jadwiga;Pawłowski;1
19;Joanna;Olszewski;3
20;Małgorzata;Nowicki;1
21;Marcin;Sikora;2
22;Halina;Nowak;3
23;Wojciech;Lewandowski;2
24;Bartosz;Wróbel;1
25;Wiktoria;Majewski;1
26;Patrycja;Jankowski;3
27;Józef;Stępień;2
28;Teresa;Pawłowski;1
29;Aleksandra;Sikora;2
30;Dariusz;Kowalski;3
