id;first_name;last_name;class_id
1;Marcin;Malinowski;1
2;Tomasz;Zieliński;2
3;Adam;Grabowski;3
4;Zofia;Szymański;1
5;Sebastian;Majewski;1
6;Magdalena;Stępień;2
7;Barbara;Sikora;2
8;Łukasz;Michalski;3
9;Filip;Dąbrowski;2
10;Tomasz;Kamiński;2
11;Amelia;Pawlak;2
12;Halina;Sikora;3
13;Mariusz;Piotrowski;1
14;Anna;Kowalczyk;3
15;Mikołaj;Woźniak;2
16;Mariusz;Król;2
17;Patryk;Nowakowski;1
18;Zofia;Jaworski;3
19;Andrzej;Nowicki;1
20;Adam;Pawłowski;1
21;Jerzy;Nowak;1
22;Patrycja;Pawłowski;1
23;Dorota;Nowicki;1
24;Łukasz;Kaczmarek;1
25;Zofia;Walczak;1
26;Rafał;Pawlak;2
27;Zofia;Nowakowski;1
28;Filip;Mazur;2
29;Janina;Kamiński;1
30;Zofia;Kowalski;1
