id;first_name;last_name;class_id
1;Jerzy;Nowak;3
2;Marta;Wójcik;1
3;Wiktoria;Nowicki;3
4;Grzegorz;Dudek;2
5;Amelia;Kowalczyk;3
6;Damian;Nowak;2
7;Tomasz;Mazur;1
8;Monika;Wójcik;2
9;Robert;Wiśniewski;3
10;Mikołaj;Wieczorek;2
11;Joanna;Pawłowski;1
12;Andrzej;Dudek;1
13;Wojciech;Wróbel;3
14;Adam;Wójcik;2
15;Jerzy;Olszewski;1
16;Katarzyna;Piotrowski;2
17;Łukasz;Stępień;3
18;Elżbieta;Jaworski;1
19;Dariusz;Dąbrowski;1
20;Jerzy;Król;1
21;Jadwiga;Pawlak;2
22;Marcin;Mazur;2
23;Dariusz;Wieczorek;1
24;Paweł;Kaczmarek;2
25;Szymon;Nowicki;1
26;Mariusz;Wiśniewski;1
27;Andrzej;Majewski;1
28;Michał;Malinowski;1
29;Barbara;Kowalczyk;2
30;Mariusz;Olszewski;1
