id;first_name;last_name;class_id
1;Beata;Olszewski;1
2;Laura;Jabłoński;1
3;Zofia;Stępień;2
4;Filip;Dąbrowski;3
5;Kamil;Zając;3
6;Bartosz;Wojciechowski;1
7;Krzysztof;Pawlak;1
8;Rafał;Sikora;1
9;Dariusz;Kozłowski;1
10;Jolanta;Jabłoński;1
11;Elżbieta;Kozłowski;1
12;Joanna;Dąbrowski;1
13;Andrzej;Krawczyk;2
14;Joanna;Zając;2
15;Tomasz;Dudek;2
16;Jan;Kowalski;1
17;Patrycja;Wieczorek;2
18;Joanna;Sikora;2
19;Irena;Krawczyk;2
20;Anna;Dąbrowski;3
21;Szymon;Mazur;2
22;Bartosz;Nowakowski;2
23;Zofia;Mazur;1
24;Amelia;Woźniak;1
25;Paweł;Sikora;2
26;Jolanta;Piotrowski;1
27;Jerzy;Wojciechowski;1
28;Magdalena;Nowakowski;1
29;Piotr;Król;3
30;Helena;Kowalski;3
