id;first_name;last_name;class_id
1;Filip;Walczak;2
2;Wiktoria;Król;3
3;Łukasz;Jankowski;1
4;Marta;Kowalczyk;3
5;Magdalena;Kowalski;2
6;Marcin;Wróbel;3
7;Łukasz;Wilk;2
8;Halina;Wiśniewski;3
9;Patryk;Krawczyk;2
10;Mariusz;Kowalczyk;2
11;Szymon;Wójcik;2
12;Agnieszka;Walczak;2
13;Wiktoria;Zając;2
14;Stanisław;Jankowski;3
15;Ewa;Walczak;2
16;Oliwia;Szymański;2
17;Natalia;Nowicki;3
18;Tadeusz;Pawlak;2
19;Piotr;Jaworski;3
20;Julia;Król;1
21;Krzysztof;Kowalczyk;1
22;Marta;Pawłowski;3
23;Tomasz;Malinowski;1
24;Andrzej;Nowakowski;3
25;Beata;Jaworski;3
26;Patrycja;Wieczorek;2
27;Maria;Kowalski;2
28;Jan;Wilk;2
29;Dorota;Wróbel;3
30;Julia;Dąbrowski;1
