id;first_name;last_name;class_id
1;Tadeusz;Jabłoński;2
2;Halina;Adamczyk;2
3;Filip;Jankowski;3
4;Filip;Kowalski;2
5;Kacper;Sikora;3
6;Robert;Szymański;1
7;Elżbieta;Krawczyk;2
8;Marek;Nowicki;2
9;Kamil;Grabowski;3
10;Sebastian;Wróbel;3
11;Jadwiga;Krawczyk;3
12;Kamil;Michalski;1
13;Patrycja;Nowakowski;2
14;Teresa;Jaworski;2
15;Teresa;Król;3
16;Tomasz;Kowalski;1
17;Beata;Kwiatkowski;1
18;Filip;Zieliński;2
19;Grzegorz;Sikora;2
20;Joanna;Szymański;2
21;Dariusz;Jankowski;3
22;Magdalena;Nowicki;1
23;Monika;Mazur;2
24;Dariusz;Sikora;3
25;Stanisław;Malinowski;2
26;Sebastian;Wojciechowski;3
27;Mateusz;Woźniak;2
28;Tadeusz;Kozłowski;3
29;Elżbieta;Wieczorek;3
30;Anna;Piotrowski;2
