id;first_name;last_name;class_id
1;Patrycja;Grabowski;2
2;Joanna;Kowalski;1
3;Marta;Jaworski;3
4;Oliwia;Stępień;1
5;Agnieszka;Zając;2
6;Wiktoria;Jabłoński;2
7;Damian;Michalski;1
8;Ewa;Wróbel;1
9;Jerzy;Olszewski;1
10;Paweł;Wójcik;2
11;Andrzej;Nowakowski;2
12;Magdalena;Szymański;2
13;Andrzej;Król;3
14;Janina;Pawłowski;2
15;Mikołaj;Piotrowski;3
16;Mateusz;Nowicki;1
17;Patryk;Pawlak;2
18;Szymon;Wieczorek;2
19;Marek;Mazur;1
20;Józef;Zieliński;3
21;Paweł;Kowalski;1
22;Zuzanna;Wróbel;1
23;Adam;Kowalczyk;3
24;Dariusz;Wróbel;1
25;Natalia;Szymański;2
26;Emilia;Wójcik;3
27;Mateusz;Nowakowski;1
28;Magdalena;Kwiatkowski;1
29;Andrzej;Malinowski;2
30;Zuzanna;Kamiński;3
