id;first_name;last_name;class_id
1;Monika;Krawczyk;1
2;Natalia;Wójcik;3
3;Amelia;Michalski;2
4;Aleksandra;Kozłowski;1
5;Krzysztof;Kwiatkowski;3
6;Jerzy;Jankowski;1
7;Zuzanna;Grabowski;2
8;Janina;Wójcik;3
9;Agnieszka;Wiśniewski;2
10;Jolanta;Kaczmarek;3
11;Oliwia;Kowalski;2
12;Tomasz;Kozłowski;1
13;Józef;Majewski;2
14;Ewa;Kowalski;1
15;Kacper;Pawlak;2
16;Helena;Wróbel;1
17;Julia;Lewandowski;2
18;Adam;Kowalski;1
19;Jan;Piotrowski;2
20;Julia;Kamiński;2
21;Katarzyna;Jabłoński;1
22;Amelia;Grabowski;3
23;Jerzy;Adamczyk;2
24;Mateusz;Kozłowski;3
25;Filip;Kowalski;2
26;Zofia;Jankowski;3
27;Zuzanna;Wiśniewski;2
28;Józef;Wilk;2
29;Marta;Dąbrowski;1
30;Helena;Woźniak;2
