id;first_name;last_name;class_id
1;Laura;Lewandowski;1
2;Halina;Dąbrowski;2
3;Julia;Kaczmarek;1
4;Paweł;Kozłowski;3
5;Jacek;Malinowski;1
6;Filip;Wilk;2
7;Rafał;Kozłowski;1
8;Janina;Grabowski;3
9;Jan;Jankowski;3
10;Maja;Kowalczyk;1
11;Józef;Grabowski;3
12;Maria;Dudek;2
13;Jadwiga;Michalski;1
14;Ewa;Grabowski;3
15;Kamil;Nowicki;3
16;Natalia;Grabowski;2
17;Zofia;Piotrowski;1
18;Agnieszka;Wróbel;2
19;Ewa;Wilk;1
20;Ewa;Kowalski;1
21;Jolanta;Kaczmarek;1
22;Patryk;Grabowski;3
23;Mikołaj;Malinowski;1
24;Oliwia;Pawlak;3
25;Szymon;Malinowski;3
26;Rafał;Lewandowski;3
27;Sebastian;Olszewski;1
28;Teresa;Wojciechowski;1
29;Tomasz;Lewandowski;1
30;Damian;Sikora;3
