id;first_name;last_name;class_id
1;Michał;Stępień;2
2;Marek;Stępień;2
3;Andrzej;Nowakowski;2
4;Wojciech;Kowalczyk;3
5;Emilia;Wojciechowski;2
6;Małgorzata;Nowak;3
7;Stanisław;Wieczorek;3
8;Stanisław;Kamiński;3
9;Magdalena;Piotrowski;3
10;Szymon;Walczak;2
11;Irena;Kowalski;1
12;Amelia;Wiśniewski;2
13;Jolanta;Jankowski;3
14;Zbigniew;Nowakowski;3
15;Emilia;Kowalski;3
16;Mariusz;Pawlak;2
17;Paweł;Jabłoński;1
18;Oliwia;Stępień;2
19;Józef;Kaczmarek;1
20;Dorota;Sikora;3
21;Wiktoria;Zieliński;2
22;Natalia;Majewski;2
23;Patryk;Wójcik;3
24;Łukasz;Kowalczyk;2
25;Jacek;Wróbel;1
26;Mikołaj;Nowakowski;1
27;Tomasz;Wojciechowski;2
28;Zbigniew;Krawczyk;1
29;Mateusz;Walczak;3
30;Irena;Kamiński;3
