id;first_name;last_name;class_id
1;Filip;Nowak;2
2;Mikołaj;Jaworski;3
3;Agnieszka;Wiśniewski;1
4;Robert;Wiśniewski;3
5;Wiktoria;Dąbrowski;3
6;Wojciech;Jabłoński;2
7;Agnieszka;Jabłoński;3
8;Dorota;Wiśniewski;2
9;Barbara;Dąbrowski;3
10;Marcin;Nowicki;1
11;Mikołaj;Grabowski;2
12;Małgorzata;Wieczorek;3
13;Stanisław;Szymański;2
14;Elżbieta;Kamiński;1
15;Rafał;Jabłoński;3
16;Julia;Lewandowski;2
17;Ewa;Nowak;2
18;Andrzej;Wieczorek;2
19;Teresa;Malinowski;3
20;Zuzanna;Wróbel;3
21;Andrzej;Zieliński;1
22;Elżbieta;Wilk;3
23;Monika;Wiśniewski;1
24;Emilia;Olszewski;1
25;Marek;Wiśniewski;2
26;Stanisław;Kwiatkowski;1
27;Dariusz;Dudek;3
28;Robert;Kozłowski;1
29;Tadeusz;Król;3
30;Robert;Majewski;1
