id;first_name;last_name;class_id
1;Aleksandra;Piotrowski;3
2;Wojciech;Jaworski;2
3;Filip;Zieliński;3
4;Adam;Nowicki;1
5;Jadwiga;Grabowski;3
6;Jacek;Kamiński;3
7;Krzysztof;Jankowski;3
8;Marcin;Jaworski;1
9;Beata;Zieliński;3
10;Marcin;Nowakowski;2
11;Maja;Lewandowski;2
12;Mateusz;Nowak;3
13;Grzegorz;Wiśniewski;3
14;Dorota;Kowalski;3
15;Paweł;Szymański;1
16;Patryk;Dudek;2
17;Mateusz;Piotrowski;1
18;Maria;Jabłoński;2
19;Julia;Woźniak;3
20;Monika;Kowalski;1
21;Emilia;Wiśniewski;1
22;Zofia;Wójcik;2
23;Józef;Jabłoński;3
24;Laura;Wróbel;3
25;Filip;Jabłoński;3
26;Laura;Wilk;3
27;Irena;Nowak;3
28;Katarzyna;Nowak;1
29;Dariusz;Nowak;2
30;Marta;Nowicki;2
